"Gammaproteobacteria incertae sedis","(Class)Gammaproteobacteria"
"unclassified Psychrobacter","(Genus)Psychrobacter"
"Betaproteobacteria incertae sedis","(Class)Betaproteobacteria"
"unclassified Kosakonia","(Genus)Kosakonia"
"Eubacteriales incertae sedis","(Order)Eubacteriales"
"unclassified Plantactinospora","(Genus)Plantactinospora"
"unclassified Hymenobacter","(Genus)Hymenobacter"
"Oscillatoriales incertae sedis","(Order)Oscillatoriales"
"unclassified Achromobacter","(Genus)Achromobacter"
"unclassified Holosporaceae","(Family)Holosporaceae"
"unclassified Halomonas","(Genus)Halomonas"
"unclassified Sphingobium","(Genus)Sphingobium"
"unclassified Helicobacter","(Genus)Helicobacter"
"unclassified Sphingobacterium","(Genus)Sphingobacterium"
"unclassified Moritella","(Genus)Moritella"
"unclassified Tenacibaculum","(Genus)Tenacibaculum"
"unclassified Pseudonocardia","(Genus)Pseudonocardia"
"unclassified Apibacter","(Genus)Apibacter"
"unclassified Bartonella","(Genus)Bartonella"
"unclassified Caproiciproducens","(Genus)Caproiciproducens"
"unclassified Cobetia","(Genus)Cobetia"
"unclassified Azospirillum","(Genus)Azospirillum"
"unclassified Tomitella","(Genus)Tomitella"
"Enterobacterales incertae sedis","(Order)Enterobacterales"
"unclassified Echinicola","(Genus)Echinicola"
"unclassified Flavobacterium","(Genus)Flavobacterium"
"unclassified Olsenella","(Genus)Olsenella"
"unclassified Thermosipho (in: Bacteria)","(Genus)Thermosipho"
"unclassified Microbacterium","(Genus)Microbacterium"
"unclassified Olivibacter","(Genus)Olivibacter"
"unclassified Synechocystis","(Genus)Synechocystis"
"unclassified Polynucleobacter","(Genus)Polynucleobacter"
"unclassified Ornithinimicrobium","(Genus)Ornithinimicrobium"
"unclassified Thermotoga","(Genus)Thermotoga"
"unclassified Cellulomonas","(Genus)Cellulomonas"
"unclassified Methylococcus","(Genus)Methylococcus"
"unclassified Arthrobacter","(Genus)Arthrobacter"
"unclassified Bacteroidetes Order II. Incertae sedis","(Phylum)Bacteroidetes"
"unclassified Balneolaeota","(Phylum)Balneolaeota"
"unclassified Geminocystis","(Genus)Geminocystis"
"unclassified Vicinamibacteria","(Class)Vicinamibacteria"
"unclassified Candidatus Bipolaricaulota","(Phylum)Candidatus Bipolaricaulota"
"unclassified Shewanella","(Genus)Shewanella"
"unclassified Pontibacillus","(Genus)Pontibacillus"
"unclassified Enterococcus","(Genus)Enterococcus"
"unclassified Roseivivax","(Genus)Roseivivax"
"unclassified Aequorivita","(Genus)Aequorivita"
"unclassified Citrobacter","(Genus)Citrobacter"
"unclassified Gammaproteobacteria","(Class)Gammaproteobacteria"
"unclassified Alphaproteobacteria incertae sedis","(Class)Alphaproteobacteria"
"unclassified Dysgonomonas","(Genus)Dysgonomonas"
"unclassified Gordonia","(Genus)Gordonia"
"unclassified Deefgea","(Genus)Deefgea"
"unclassified Erysipelothrix","(Genus)Erysipelotrhix"
"unclassified Ruegeria","(Genus)Ruegeria"
"unclassified Lysobacter","(Genus)Lysobacter"
"unclassified Azoarcus","(Genus)Azoarcus"
"unclassified Blautia","(Genus)Blautia"
"unclassified Enterobacter","(Genus)Enterobacter"
"unclassified Synechococcus","(Genus)Synechococcus"
"unclassified Mucilaginibacter","(Genus)Mucilaginibacter"
"unclassified Calothrix","(Genus)Calothrix"
"unclassified Klebsiella","(Genus)Klebsiella"
"unclassified Pseudomonas","(Genus)Pseudomonas"
"unclassified Providencia","(Genus)Providencia"
"unclassified Pseudochrobactrum","(Genus)Pseudochrobactrum"
"unclassified Streptomyces","(Genus)Streptomyces"
"unclassified Mesorhizobium","(Genus)Mesorhizobium"
"unclassified Leptotrichia","(Genus)Leptotrichia"
"unclassified Pseudoalteromonas","(Genus)Pseudoalteromonas"
"unclassified Sphingopyxis","(Genus)Sphingopyxis"
"unclassified Cupriavidus","(Genus)Cupriavidus"
"unclassified Crassaminicella","(Genus)Crassaminicella"
"Chromatiales incertae sedis","(Order)Chromatiales"
"Firmicutes sensu stricto incertae sedis","(Phylum)Firmicutes"
"unclassified Bdellovibrio","(Genus)Bdellovibrio"
"unclassified Candidatus Omnitrophica","(Phylum)Candidatus Omnitrophica"
"unclassified Commensalibacter","(Genus)Commensalibacter"
"unclassified Verrucomicrobia incertae sedis","(Phylum)Verrucomicrobia"
"unclassified Blastocatellia","(Class)Blastocatellia"
"unclassified Microbulbifer","(Genus)Microbulbifer"
"unclassified Rickettsiales","(Order)Rickettsiales"
"unclassified Actinoplanes","(Genus)Actinoplanes"
"unclassified Lactobacillus","(Genus)Lactobacillus"
"unclassified Burkholderia","(Genus)Burkholderia"
"Bacillales incertae sedis","(Order)Bacillales"
"unclassified Shinella","(Genus)Shinella"
"unclassified Neorhizobium","(Genus)Neorhizobium"
"Corynebacteriales incertae sedis","(Order)Corynebacteriales"
"unclassified Tissierellia incertae sedis","(Class)Tissierellia"
"unclassified Gemella","(Genus)Gemella"
"Burkholderiales genera incertae sedis","(Order)Burkholderiales"
"unclassified Gammaproteobacteria incertae sedis","(Class)Gammaproteobacteria"
"Thermoanaerobacterales Family IV. Incertae Sedis","(Order)Thermoanaerobacterales"
"unclassified Tenericutes incertae sedis","(Phylum)Tenericutes"
"unclassified Agrobacterium","(Genus)Agrobacterium"
"unclassified Nocardioides","(Genus)Nocardioides"
"unclassified Nocardiopsis","(Genus)Nocardiopsis"
"unclassified Novosphingobium","(Genus)Novosphingobium"
"unclassified Carnobacterium","(Genus)Carnobacterium"
"Pelagibacterales incertae sedis","(Order)Pelagibacterales"
"unclassified Dehalobacter","(Genus)Dehalobacter"
"unclassified Geomonas","(Genus)Geomonas"
"Aquificales genera incertae sedis","(Order)Aquificales"
"unclassified Bacteroides","(Genus)Bacteroides"
"unclassified Betaproteobacteria incertae sedis","(Class)Betaproteobacteria"
